,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8096463,7.607604,7.316129,7.546713,7.661523,7.149082,7.633639,7.294183
8140170,7.852824,7.671849,7.609388,7.78857,7.683738,7.652246,7.194727
7916229,7.433016,7.324437,7.318176,7.531287,7.635735,7.166339,6.930383
8008995,3.532236,3.532236,3.770934,3.27495,3.377208,3.887033,4.096147
8175574,5.06982,4.496626,4.541443,4.639818,4.663931,5.544004,4.740585
8086465,3.848374,3.38086,3.579319,3.306204,3.812468,2.964118,3.810614
7941236,8.957353,9.116255,9.234076,9.14891,9.214834,8.744362,9.566954
8176986,6.018368,5.852546,5.773836,5.764422,6.115992,5.832345,5.920334
8139118,8.937439,8.381423,6.864301,7.47575,6.719715,9.054387,7.166125
8087461,7.195996,6.68711,6.992174,6.755146,7.196296,7.222088,6.988971
8168602,5.428609,5.123703,5.736793,5.532298,5.531441,5.842874,5.879914
8129706,8.914894,8.920701,8.553524,8.527741,8.425988,9.022578,8.558828
8078984,7.758952,7.860054,7.531584,7.866493,7.837047,7.582291,7.420982
8075846,4.844065,5.039124,5.001707,4.684923,4.553319,4.618276,5.259207
8061262,6.993077,6.71056,6.817153,6.799745,6.882709,6.878264,6.845369
7939875,2.400626,2.516245,2.353769,2.398233,2.57212,2.478447,2.346089
8179174,11.77813,11.73799,11.75138,11.87582,11.81889,11.67161,11.5009
8104394,5.50753,5.406151,5.767962,5.626124,5.488829,5.526579,5.747991
8039144,6.106567,6.264708,6.10302,6.309479,5.894536,6.198025,6.005947
8113658,5.256194,5.256194,5.256194,4.996118,5.368237,5.256194,5.294934
7951824,5.445516,5.122809,5.458695,5.246258,5.187611,5.504251,5.342886
8110068,4.020976,4.302231,4.065524,3.972205,4.091928,3.988477,4.001375
7912257,7.646424,7.688416,7.848017,7.894126,8.289131,7.639819,7.269337
8130372,3.008812,2.968769,3.34239,3.205276,3.326406,2.973061,2.82846
7931977,4.431201,4.547211,4.769855,4.798957,4.474519,4.90588,5.043856
7969609,2.958029,3.462946,3.03115,3.052197,3.084836,3.019085,3.069073
8086051,4.997467,4.864196,5.382268,4.809199,4.770763,4.906384,5.285581
8104648,3.246023,3.851947,3.378089,3.303066,3.419846,3.145355,3.377451
7946401,4.55448,4.178243,4.290988,4.401919,4.526511,4.546834,4.567112
8145438,4.520302,4.655835,4.90856,4.48392,4.358783,4.655835,4.61099
7969271,7.36526,7.569322,7.169201,7.540592,7.293636,7.657852,6.392951
