,Pretreatment_Placebo1,Pretreatment_Placebo2,Pretreatment_Placebo3,Pretreatment_Placebo4,Pretreatment_Placebo5,Pretreatment_Placebo6,Pretreatment_Placebo7
ID_REF,GSM1923000,GSM1923004,GSM1923010,GSM1923012,GSM1923007,GSM1923020,GSM192998
7968734,6.351896,6.513721,6.046741,6.451756,6.621915,6.402939,6.432269
8087374,9.347156,9.254047,9.464667,9.088955,9.348955,9.458249,9.068598
8067248,7.615146,6.881265,7.520874,7.259379,7.789157,7.522769,7.270933
8029006,5.864904,6.061624,5.923154,5.596678,5.471954,5.691597,5.866801
8169291,4.204768,4.632117,4.43531,4.134084,4.052333,4.046607,4.063831
8109044,3.126462,3.417146,2.985887,2.917569,2.903909,3.01567,2.920472
8049530,10.59195,10.51239,10.39645,9.939684,10.03635,10.13173,9.437986
8000978,5.863475,6.252853,5.888545,6.213046,5.791103,5.826255,5.555448
7955469,6.558851,6.318847,6.230717,5.957213,6.55306,5.987025,6.419734
8164696,7.399851,7.171459,6.836475,6.731964,6.999691,6.858143,7.146734
7951217,3.540686,3.602442,3.50508,3.449664,3.366675,3.539481,3.373636
8127872,4.572308,4.626073,4.71082,4.687045,4.643411,4.562843,4.213024
8131203,5.023608,5.148742,4.922089,5.470191,4.736753,4.641767,4.802887
8073522,8.228048,7.984645,7.895235,8.005434,8.018172,7.891837,7.971926
8047286,8.036774,8.101921,7.522493,8.173679,7.7813,7.482188,7.629766
7899392,4.84254,4.344296,5.125837,4.812044,4.752372,5.526305,4.776671
8165808,6.424353,6.223536,6.419238,6.437144,5.983904,6.556046,6.703902
8162179,5.724536,5.589864,5.510124,5.639406,5.340607,5.411375,5.736195
8011009,3.869846,4.382522,4.001267,3.951641,3.662333,3.602237,3.67127
7971071,5.90119,5.963383,6.067798,5.915233,5.90119,5.913944,5.834384
8098021,4.062812,4.545975,3.941866,4.060526,4.159906,3.81088,3.854958
8087925,5.487,5.608106,5.562936,5.866012,5.73183,5.608106,5.480796
7976744,8.763965,8.884378,8.654675,8.700798,8.659544,8.740553,8.700798
7968232,5.317162,4.883047,5.591825,5.29091,4.987975,5.058512,5.35955
8152512,4.152668,4.377173,4.17497,4.169428,4.169428,4.079672,4.183082
8148156,3.079201,2.774827,3.693117,3.862056,3.283756,2.678287,4.442038
8074541,7.547537,7.613379,7.2575,7.501691,7.199514,7.325149,7.319437
8095269,8.934612,8.863338,9.111548,9.231549,9.150711,9.244095,9.188929
8041826,7.996207,7.820199,7.931866,8.245112,7.969573,7.802176,8.000752
8015445,7.11962,6.478938,7.238756,6.909228,6.432076,7.108809,6.923915
8119243,3.574655,3.591723,3.67994,3.561283,3.592912,3.282793,3.473731
8135587,4.901917,5.583089,6.043054,5.232461,6.115486,5.254039,5.313174
8101701,7.774087,7.615047,7.952891,7.864342,7.52552,7.68534,7.862908
8095380,2.706972,2.838313,2.80783,3.026981,2.532836,2.618961,2.526497
8028514,10.66125,10.63633,10.68269,10.81729,10.78649,10.53713,10.62058
7967060,8.452345,8.354013,8.323906,8.367165,8.360882,8.421021,8.290796
8015163,3.345349,3.54404,3.243235,3.324658,3.419077,3.361729,3.275619
8149592,5.229568,5.21587,4.668025,5.345669,5.028115,4.932325,4.920875
7982024,2.742806,2.655346,3.10661,3.440392,3.4483,2.378384,2.439478
8173848,4.282123,4.029393,4.835383,4.138879,4.336785,4.234293,4.412229
8012953,6.157575,6.417161,6.171741,7.151989,6.307833,6.744176,6.655517
8171026,5.584194,5.336006,5.181365,5.462722,5.587727,5.434252,5.494274
8066668,8.960482,8.853913,8.793498,8.93594,8.738565,8.846874,9.001572
8053840,5.387625,5.065074,4.705748,4.753633,4.99984,4.4259,5.10767
8024829,6.697914,6.467505,6.67392,6.669593,6.733004,6.688407,6.564538
8168028,6.254552,6.405417,6.680611,6.072077,6.380297,6.269471,6.435967
8080973,8.177655,7.791815,8.197338,8.568529,8.453827,8.711322,8.313412
8083090,10.17344,10.45428,10.44095,10.45916,10.36602,10.63806,10.71814
7986004,5.226684,5.206738,5.042068,4.963781,4.557678,5.166406,5.085028
7992954,6.213185,6.209508,6.124566,6.463419,6.098916,6.208434,5.81936
8027938,4.990515,4.748084,4.70104,4.94465,4.59552,4.76991,4.484396
8104786,4.584152,4.684487,4.726434,4.383613,4.597605,4.482407,4.328714
8085676,5.199441,5.320003,5.142687,5.448758,5.141853,4.96044,5.01673
8147877,4.16329,3.657646,4.109445,3.816607,3.945874,4.135038,3.673968
7989937,4.588002,4.919373,4.466396,4.731668,4.518622,4.403076,4.384939
7935180,8.647067,9.076104,9.166356,9.019494,9.002571,8.713983,9.543396
8144995,5.531355,5.519031,5.537089,5.831284,5.480521,5.468471,5.583211
8092177,7.741665,7.792801,8.20261,7.75647,7.740453,7.716417,7.88021
8074969,8.659211,9.10342,8.828599,9.533552,9.390861,9.146101,9.273464
7900146,8.13332,8.12979,8.051743,8.330488,8.091063,8.080572,8.226386
8146122,9.713053,9.737114,9.881897,10.03831,9.940337,10.10095,10.02914
8000945,7.18094,7.370825,7.316566,7.518983,7.856923,7.025445,7.55458
7948918,4.882663,5.132647,4.72265,5.118084,4.814186,4.599766,4.478112
7953761,4.152452,4.235341,3.955731,4.059135,4.120062,4.186842,4.049082
8073293,4.61575,5.191845,5.280499,5.220565,5.028625,5.011169,5.326043
8150491,10.5282,10.35338,10.3042,9.866263,10.16888,10.49372,10.01676
7995787,5.144664,5.010042,5.501718,4.924207,5.163776,5.003796,5.347194
8007108,4.879508,4.805232,4.907569,4.555308,4.558338,4.577821,4.554324
7979033,7.626342,7.20947,7.695292,7.447433,7.157797,7.631791,7.901574
7969493,3.455645,3.381851,3.307831,3.226261,3.358624,3.496843,3.238101
8041540,5.134753,5.120637,5.18349,4.615578,5.133954,4.859707,4.500022
