"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"LCE2D",4.95615442857143,4.85516285714286,4.83248471428571,3.53667541966667,3.48942416466667
"LCE3A",5.82382057142857,5.87785828571429,5.81773385714286,6.141260053,5.98425265133333
"LCE3B",6.64034385714286,6.73994514285714,6.61732285714286,6.5970289255,6.524805425
"LCE3C",5.13493914285714,5.12735314285714,5.10865985714286,2.8759838815,2.83157436783333
"LCE3D",5.44602457142857,5.58973942857143,5.59079385714286,6.10365337483333,5.990263075
"LCE3E",5.77358464285714,5.81637671428571,5.75398457142857,4.88066098816667,4.76963028533333
"LCE4A",5.75934407142857,5.80492514285714,5.76988285714286,3.354006792,3.20623607933333
"LCE5A",6.0053775,6.15655242857143,6.06936628571429,3.56939129533333,3.49975125983333
"LCK",9.53584235714286,9.61436585714286,9.58690628571429,7.311474287,7.56870009533333
"LCLAT1",8.5234165,8.670906,8.653979,6.61153404866667,6.77604948533333
"LCMT1",8.17829271428571,8.27035,8.28984314285714,6.9080565585,6.92536497833333
"LCMT2",7.37158935714286,7.47453557142857,7.351181,5.70277513366667,5.72126745433333
"LCN1",5.33794621428571,5.30529871428571,5.3577825,5.3578209835,5.2773644045
"LCN10",6.4118845,6.32231071428571,6.286482,5.44144643716667,5.39251572766667
"LCN12",5.6641085,5.71254871428571,5.71728871428571,5.82193135566667,5.76332378166667
"LCN15",5.13302414285714,5.01497385714286,5.19357628571429,4.69638114616667,4.65710064816667
"LCN2",7.86842807142857,7.62194028571429,7.97982885714286,5.82865458333333,5.90376389983333
"LCN6",5.514076,5.73457928571429,5.47619071428571,5.3264125865,5.30716791933333
"LCN8",5.40108067857143,5.6232525,5.36587392857143,5.03965626166667,5.117363175
"LCN9",4.37927114285714,4.49466057142857,4.31050642857143,3.50906337016667,3.49222650833333
"LCNL1",5.98721307142857,6.10729828571429,6.008776,5.1978611275,5.0791575385
"LCORL",7.14670178571429,7.17207671428571,7.200016,6.02111407366667,6.07716523783333
"LCP1",12.6550257142857,12.6795171428571,12.66909,10.3455398683333,10.267353565
"LCP2",11.6132907142857,11.6128285714286,11.6055,9.33094832683333,9.39658485816667
"LCT",5.21847092857143,5.210608,5.30759171428571,3.35775054616667,3.29489609483333
"LCTL",4.51268757142857,4.59689,4.41497828571429,2.9505598645,2.94363526866667
"LDB1",11.0565935714286,11.0378342857143,10.9767028571429,8.8020830675,8.91016891533333
"LDB2",5.46143835714286,5.55289328571429,5.474126,3.1561814745,3.14501257783333
"LDB3",5.17221214285714,5.11355628571429,5.154348,3.90100432316667,3.84458602866667
"LDHA",11.0106957142857,11.1412571428571,11.08186,7.78088526633333,7.76510408066667
"LDHAL6A",4.57614407142857,4.440919,4.33259771428571,3.3350502665,3.29968577316667
"LDHAL6B",4.27320214285714,4.25738085714286,4.25541642857143,2.25036684933333,2.20929990566667
"LDHAL6CP",4.76407328571429,4.78245371428571,4.97300642857143,2.6843313805,2.57240849366667
"LDHB",10.4844872857143,10.6855028571429,10.6141985714286,8.187988171,8.39828237833333
"LDHC",3.12950407142857,3.11953814285714,3.13422471428571,2.77618558916667,2.79286991366667
"LDHD",6.10927442857143,6.109873,6.16650814285714,5.36501119766667,5.2876210555
"LDLR",8.09939435714286,7.958739,8.14022671428571,6.66871289683333,6.635057861
"LDLRAD1",5.01214128571429,5.06640685714286,4.99064942857143,3.46079290633333,3.43096083916667
"LDLRAD2",5.79685571428571,5.81007014285714,5.64553442857143,4.83582424583333,4.81141880983333
"LDLRAD3",7.35057678571429,7.27530714285714,7.365873,7.444454571,7.21990427716667
"LDLRAD4",7.20423128571429,7.193822,7.178183,6.1508831445,6.07157210533333
"LDLRAP1",9.26223407142857,9.41225728571429,9.12002285714286,7.124518117,7.24728917916667
"LDOC1",7.23383414285714,7.44454014285714,7.19461542857143,5.44605608533333,5.75902369616667
"LEAP2",6.11458528571429,6.17103871428571,6.23197385714286,4.0271482365,4.074750722
"LECT2",3.24387914285714,3.29280442857143,3.29571485714286,2.6240442855,2.61114397183333
"LEF1",10.9331935714286,11.0014085714286,10.8732971428571,8.43320747716667,8.64525070083333
"LEFTY1",6.68083685714286,6.774463,6.82447028571429,5.28309279566667,5.22081784733333
"LEFTY2",6.21965307142857,6.284889,6.30636414285714,5.80649837016667,5.75774880083333
"LEKR1",4.64231778571429,4.652794,4.55486557142857,2.8470182095,2.82541421266667
"LELP1",5.50633678571429,5.447168,5.39055442857143,4.10642487416667,4.12177933366667
"LEMD1",3.46807707142857,3.51625257142857,3.52853714285714,2.865000956,2.81937188733333
"LEMD2",8.13425885714286,8.15123942857143,8.135506,6.59287052566667,6.63095970333333
"LEMD3",7.96927985714286,8.01878357142857,7.94628542857143,7.297421086,7.60397984766667
"LENG1",6.29676878571429,6.37689928571429,6.27716828571429,6.09606504766667,6.09456150383333
"LENG8",9.74614507142857,9.68000842857143,9.58098757142857,8.11716071033333,8.07471499866667
"LENG9",6.35158514285714,6.40754328571429,6.31226857142857,6.033171292,6.05828772116667
"LEO1",7.08471964285714,7.09095914285714,7.19180214285714,7.01178203016667,7.327980009
"LEP",4.55953885714286,4.51291957142857,4.486949,3.374664552,3.26355581816667
"LEPR",6.88206442857143,6.96148571428571,7.07143628571429,5.57035723516667,5.50175583516667
"LEPROTL1",10.1094407142857,10.1960371428571,10.072611,7.78911690283333,7.93584974083333
"LETM1",7.18497807142857,7.04094585714286,7.19228114285714,6.383959716,6.38306328133333
"LETM2",7.51277985714286,7.394216,7.63131985714286,4.40570277883333,4.39884647516667
"LETMD1",9.03503785714286,9.05595957142857,8.95595171428571,7.08040705583333,7.27972418066667
"LFNG",9.29172664285714,9.18897885714286,9.11124671428571,6.5453508695,6.533166931
"LGALS1",9.99627392857143,10.0103671428571,9.90875557142857,7.85492850866667,7.61255964183333
"LGALS12",7.74332771428571,7.61449171428571,7.61737071428571,5.3538999235,5.05250156283333
"LGALS13",3.65557657142857,3.62722657142857,3.39281428571429,3.1056450925,3.01649649466667
"LGALS14",4.36296785714286,4.34238514285714,4.26567242857143,3.829650561,3.850215271
"LGALS16",3.4571705,3.45143114285714,3.39798957142857,3.38316489616667,3.31925968016667
"LGALS2",7.07952928571429,6.572323,7.337129,6.49340818483333,6.48471218166667
"LGALS3",8.47165992857143,8.15713971428571,8.59601757142857,8.932162039,8.7311509345
"LGALS3BP",7.535614,7.56212228571429,7.44736157142857,6.19510948366667,6.10003099616667
"LGALS4",5.98444921428571,5.98272514285714,5.94091985714286,4.72881755483333,4.68686473516667
"LGALS7",5.91671435714286,5.96445878571429,5.92347635714286,5.28571079216667,5.22038878533333
"LGALS8",9.20231728571428,9.28012928571428,9.23823771428571,8.1369424955,8.17000521
"LGALS8-AS1",5.33865885714286,5.39390628571429,5.395197,3.240972565,3.13048836766667
"LGALS9",8.423782,8.33523685714286,8.449642,8.29855160133333,8.047586766
