"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"HIST1H2AA",4.285258,4.202738,4.378268,4.194842,4.032928,4.222818,4.154185,4.506081,3.848717,4.164589,4.444722,3.952096,4.188118,4.386334
"HIST1H2AB",4.847445,4.516072,4.795537,5.028178,5.092875,5.322803,5.555208,5.122182,5.293058,5.494746,5.385067,5.065833,5.13994,5.514148
"HIST1H2AC",10.58137,10.52957,10.73129,10.66543,10.52459,10.5745,10.31116,10.68645,10.66955,10.64135,10.702,10.60064,10.53973,10.78767
"HIST1H2AD",9.432713,9.371449,9.457462,9.454441,9.385876,9.219965,9.333488,8.792715,9.619235,9.500695,9.468434,9.276918,9.478516,9.570974
"HIST1H2AE",5.363512,5.383136,5.187539,5.264469,5.143696,5.380953,5.072858,5.173323,5.32548,5.410972,5.423374,5.243481,5.580385,5.416544
"HIST1H2AG",7.340374,7.276459,7.204132,7.248604,7.130409,7.085215,7.225665,7.308553,7.533306,7.220815,7.093869,7.461051,7.053875,7.430442
"HIST1H2AH",4.831724,4.900823,4.641359,5.263324,4.913739,5.264121,4.779024,4.903828,4.799999,5.169502,4.81552,4.838659,4.778853,4.844916
"HIST1H2AI",5.41875,5.121969,4.870857,5.320453,5.330768,5.252261,5.742772,4.832012,5.515205,5.087386,5.209289,5.211552,5.252261,5.11116
"HIST1H2AJ",3.321115,3.533824,3.72658,3.88307,3.378894,3.837137,4.490248,4.022129,4.225916,4.065721,3.929301,3.95388,3.986207,3.840264
"HIST1H2AK",7.06024,7.034198,7.40612,7.499996,6.83868,7.455726,7.082495,7.019609,7.308984,7.222248,7.368684,6.613154,7.00082,7.591002
"HIST1H2AL",5.488636,5.706047,5.715966,5.74791,5.675771,5.389129,5.754148,5.404355,5.842633,5.870801,5.642312,5.683395,5.593864,5.642265
"HIST1H2AM",5.265247,5.273173,4.969296,5.118087,5.372287,4.979516,5.335416,5.00806,5.604192,5.022171,5.224138,5.265247,4.969863,5.675573
"HIST1H2APS4",4.988588,4.909062,4.79763,4.671791,4.626664,4.623755,4.795306,4.806433,4.495805,4.795306,4.90344,4.306082,4.795306,5.047723
"HIST1H2BA",3.826104,3.856722,3.879774,3.821586,3.647373,3.663246,3.736283,3.899161,3.738277,4.208011,3.862131,3.854166,3.688133,3.837857
"HIST1H2BB",4.238592,4.509634,4.564661,4.564661,4.69926,4.187024,4.510675,4.779241,4.395144,4.855346,4.544889,4.460042,4.783101,4.644792
"HIST1H2BC",7.952945,8.284482,8.0956,8.124676,8.182396,7.920369,8.004465,7.976903,8.437538,8.036876,8.125823,8.07932,8.110763,8.296632
"HIST1H2BD",6.63733,7.30099,7.088659,7.565543,7.229146,7.300174,7.338244,6.943716,7.138889,7.087971,6.998219,7.055331,7.483325,7.339793
"HIST1H2BE",5.100206,5.520394,5.477125,5.170382,5.348425,5.282091,5.670057,5.384485,5.466567,5.367038,5.487998,5.392523,5.59214,5.459717
"HIST1H2BF",8.80944,8.840635,8.665667,8.672632,8.522962,8.449499,8.715887,8.649824,8.898565,8.56642,8.561642,8.501638,8.577815,8.839308
