,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
8087874,10.21551,10.07659,10.13079,10.05312,10.12042,10.25248,10.09929
8152988,10.68335,10.5043,10.66102,10.87283,10.81369,10.69854,10.78069
7986665,8.676042,8.655544,8.71977,8.711471,8.645994,8.682775,8.728977
8017148,3.067974,2.873037,2.892101,2.842131,2.981857,3.121879,2.815269
8031489,6.740585,6.413829,6.622843,6.612368,6.541112,6.737526,6.674919
8067812,6.566936,6.43479,6.427993,6.221371,6.497918,6.246002,6.566009
7913385,6.816608,9.742922,5.850308,7.524227,7.485835,6.005678,7.299091
8144705,5.119058,5.196716,5.072592,4.7475,4.81584,4.880483,4.880483
8069085,7.118555,7.040106,7.299335,7.039465,7.140253,7.135419,7.086205
8014033,3.254078,2.67893,2.596355,3.237792,2.81384,3.004264,2.647375
8038824,9.270828,9.077547,9.392324,9.371618,9.208346,9.111433,8.964252
8037640,6.211745,6.302544,6.333194,6.102263,6.304384,6.279568,6.300442
7924956,8.002612,7.912471,7.67476,8.17922,8.192686,8.037333,7.823378
7924463,11.77987,11.13138,11.45944,11.11039,12.01497,11.4517,11.1386
7902269,10.53324,10.63309,10.51092,10.47249,10.41523,10.50123,10.66104
8112668,7.101686,7.596165,7.082045,7.55624,7.133647,7.272961,8.08035
8051061,6.069812,6.045437,6.046569,5.931089,5.915001,6.356729,6.093443
8161938,5.823949,5.458653,5.362046,5.777498,5.76286,5.466637,5.447042
8004081,6.791253,7.357156,6.780071,7.512859,7.079982,7.060404,7.026519
7961546,5.460807,5.831412,5.556342,5.813354,5.779053,6.091682,5.96797
7943795,5.553515,5.229944,5.538607,5.686723,5.204683,5.365841,5.64234
8108378,8.488079,8.002546,8.73827,8.444706,8.970064,8.620114,8.561369
8167103,7.991398,8.106182,7.835541,8.151635,8.009971,8.072909,8.106561
