"","value","change","pre_GSM1923000","pre_GSM1923004","pre_GSM1923010","pre_GSM1923012","pre_GSM1923007","pre_GSM1923020","pre_GSM192998","pre_GSM1922995","pre_GSM1923002","pre_GSM1923008","pre_GSM1923015","pre_GSM1923018","pre_GSM1923022","pre_GSM1923017","post_EG_GSM1923001","post_EG_GSM1923005","post_EG_GSM1923011","post_EG_GSM1923013","post_EG_GSM1923021","post_EG_GSM1923006","post_EG_GSM1923014","post_EQ_GSM192996","post_EQ_GSM1923003","post_EQ_GSM1923009","post_EQ_GSM1923016","post_EQ_GSM1923019","post_EQ_GSM1923023","post_EQ_GSM192997"
"ALDH5A1","Down Regulated EGCG",0.509673428571429,7.952618,8.139573,7.678496,7.215479,8.269623,7.154166,8.699712,7.983555,8.517094,8.259899,7.593282,7.671036,8.731031,8.139548,7.77905,7.806866,7.203592,7.756974,6.975428,7.601022,7.31191,8.092734,8.634794,7.955797,7.553405,7.552294,9.218049,7.572071
"LGALS2","Down Regulated EGCG",0.507206285714286,5.889227,6.590998,7.991654,6.16583,6.852998,6.887355,7.513904,6.436921,7.344245,7.500143,7.208789,7.644198,7.403719,7.683429,5.990546,6.847225,7.667832,6.305082,6.824337,6.636683,5.734556,6.5424,7.332567,7.57986,7.370322,7.809787,7.31393,7.411037
"IFIT1B","Down Regulated EGCG",0.507117285714287,7.819321,9.213772,8.217195,7.680322,8.573379,9.369111,10.0584,8.137804,10.68292,8.62677,8.57902,9.019814,10.7683,9.217394,7.449615,9.74501,7.443933,8.362711,9.410426,8.611727,8.408518,8.397844,10.5939,8.497488,8.607826,8.450035,10.85882,8.873499
"RNA5SP242","Down Regulated EGCG",0.498469,7.915483,7.020733,7.740351,6.194974,7.000936,7.26008,7.285285,6.994006,8.065243,7.518399,7.358203,9.288952,7.44808,6.853621,6.861242,7.526591,6.911733,6.065194,7.551071,6.864363,6.702696,6.495778,8.027521,7.017735,7.80757,7.627996,6.379083,6.966662
"UBE2O","Down Regulated EGCG",0.495240571428571,8.555623,8.996534,8.176607,7.632955,8.938259,8.784403,9.059455,8.787931,10.16899,9.138132,8.370553,9.020329,9.965636,9.079515,8.293604,8.890228,7.848507,8.119076,8.617882,8.452837,8.648643,8.807296,10.13814,9.07758,8.197358,8.514254,10.06867,8.679586
"OSBP2","Down Regulated EGCG",0.493473285714286,8.490681,9.269087,7.417982,8.154993,8.547719,8.923566,9.498442,8.811042,9.617673,9.177885,8.077947,9.027387,9.784541,8.937953,8.246765,9.041632,7.199751,8.535689,8.643761,8.307762,8.438776,8.839487,9.66853,9.290818,7.957779,8.562681,9.900647,8.037309
"HBZ1","Down Regulated EGCG+Quercentin",0.930475785714286,5.811648,5.069629,6.523757,3.919103,3.86604,7.004467,6.80334,3.463336,5.055998,4.500188,3.313138,2.791657,3.460742,6.49291,5.949213,5.355846,4.110092,6.065581,7.461491,5.072135,6.761656,2.427704,3.137046,5.007051,2.960443,3.446559,3.151683,7.39416
"RNU6-1124P","Down Regulated EGCG+Quercentin",0.623611428571428,3.625595,3.955489,4.624758,3.142038,3.610108,3.446178,3.775698,4.566251,4.04022,2.999533,2.581622,3.543049,4.128722,3.184595,3.829879,4.693993,4.822496,4.014038,2.583134,3.494383,3.597673,4.110287,2.660346,3.311558,2.296012,2.763831,3.241366,2.863248
"RNU6-921P","Down Regulated EGCG+Quercentin",0.599531214285715,4.137214,4.339667,4.462494,4.716303,4.720361,4.590574,3.516193,4.739301,4.141136,4.676291,4.029157,3.660089,4.171865,3.287252,4.587255,3.971565,5.555689,4.250207,4.386709,4.632421,3.921858,3.075671,4.015993,3.245117,4.252715,3.317393,3.819692,3.670649
"IGKV2-26","Down Regulated EGCG+Quercentin",0.580852999999999,7.502052,7.072053,6.711569,7.97642,6.582178,6.289496,7.18733,7.245918,6.725072,7.266558,7.124655,7.287825,6.347554,6.780286,7.74379,7.145695,7.368058,7.609488,6.258324,6.988001,6.609367,7.447532,5.993151,7.120434,6.058447,5.590872,6.074282,6.698794
